Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin Clock Time,End Clock Time,Begin Date Time,Dur 90% (s),Delta Time (s)
1,Spectrogram 1,1,0,50.51089345,1286.3,2835.5,10:24.0,11:14.5,10:24.0,45.9093,50.5109
2,Spectrogram 1,1,50.51573108,73.75799654,1286.3,2842.6,11:14.5,11:37.8,11:14.5,15.872,23.2423
3,Spectrogram 1,1,73.77244187,118.2919279,1293.4,2842.6,11:37.8,12:22.3,11:37.8,32.8533,44.5195
4,Spectrogram 1,1,118.2852891,176.5417226,1293.4,2849.7,12:22.3,13:20.5,12:22.3,50.7733,58.2564
5,Spectrogram 1,1,176.5231557,233.5433084,1293.4,2856.9,13:20.5,14:17.5,13:20.5,50.6027,57.0202
6,Spectrogram 1,1,233.5425938,239.9500712,1293.4,2864,14:17.5,14:24.0,14:17.5,5.632,6.4075
7,Spectrogram 1,1,239.9507858,282.223494,1293.4,2864,14:24.0,15:06.2,14:24.0,38.0587,42.2727
8,Spectrogram 1,1,282.2511909,330.341721,1293.4,2864,15:06.3,15:54.3,15:06.3,40.448,48.0905
9,Spectrogram 1,1,330.3617587,548.0660984,1293.4,2856.9,15:54.4,19:32.1,15:54.4,171.9467,217.7043
10,Spectrogram 1,1,548.0513925,686.0779089,1300.5,2849.7,19:32.1,21:50.1,19:32.1,126.5493,138.0265
11,Spectrogram 1,1,686.065362,723.8304295,1300.5,2849.7,21:50.1,22:27.8,21:50.1,34.6453,37.7651
12,Spectrogram 1,1,723.845173,749.714188,1307.6,2849.7,22:27.8,22:53.7,22:27.8,22.272,25.869
13,Spectrogram 1,1,749.714188,770.6680075,1307.6,2864,22:53.7,23:14.7,22:53.7,18.2613,20.9538
14,Spectrogram 1,1,770.6559269,1222.312041,1307.6,2856.9,23:14.7,30:46.3,23:14.7,300.8,451.6561
15,Spectrogram 1,1,1222.312041,1468.014522,1400,2856.9,30:46.3,34:52.0,30:46.3,225.1947,245.7025
16,Spectrogram 1,1,1468.035278,1503.689791,1407.1,2856.9,34:52.0,35:27.7,34:52.0,31.232,35.6545
17,Spectrogram 1,1,1503.704224,2063.60655,1392.9,2871.1,35:27.7,44:47.6,35:27.7,320.1707,559.9023
18,Spectrogram 1,1,2063.634582,2075.844126,1371.6,2871.1,44:47.6,44:59.8,44:47.6,11.6053,12.2095
19,Spectrogram 1,1,2075.841983,2206.578123,1378.7,2878.2,44:59.8,47:10.6,44:59.8,117.6747,130.7361
20,Spectrogram 1,1,2206.603103,2241.810351,1385.8,2878.2,47:10.6,47:45.8,47:10.6,30.5493,35.2072
21,Spectrogram 1,1,2241.815884,2766.325436,1392.9,2885.3,47:45.8,56:30.3,47:45.8,189.3547,524.5096
22,Spectrogram 1,1,2766.335647,2812.425938,1400,2885.3,56:30.3,57:16.4,56:30.3,42.0693,46.0903
23,Spectrogram 1,1,2812.455811,2851.136287,1385.8,2892.4,57:16.5,57:55.1,57:16.5,33.7067,38.6805
24,Spectrogram 1,1,2851.195128,2897.644984,1400,2885.3,57:55.2,58:41.6,57:55.2,41.472,46.4499
25,Spectrogram 1,1,2897.663741,4749.87383,1400,2885.3,58:41.7,29:33.9,58:41.7,1418.8373,1852.2101
26,Spectrogram 1,1,4749.877026,4754.034207,1385.8,2892.4,29:33.9,29:38.0,29:33.9,4.0107,4.1572
27,Spectrogram 1,1,4754.032697,5020.582275,1378.7,2906.6,29:38.0,34:04.6,29:38.0,236.544,266.5496
28,Spectrogram 1,1,5020.582275,5085.728267,1385.8,2913.7,34:04.6,35:09.7,34:04.6,58.5387,65.146
29,Spectrogram 1,1,5085.768394,5296.146152,1392.9,2913.7,35:09.8,38:40.1,35:09.8,180.3947,210.3778
30,Spectrogram 1,1,5296.147729,5312.387894,1378.7,2906.6,38:40.1,38:56.4,38:40.1,14.7627,16.2402
31,Spectrogram 1,1,5312.417314,5353.381791,1378.7,2906.6,38:56.4,39:37.4,38:56.4,37.4613,40.9645
32,Spectrogram 1,1,5353.378684,5437.004655,1371.6,2892.4,39:37.4,41:01.0,39:37.4,74.496,83.626
33,Spectrogram 1,1,5436.979411,6281.647195,1357.4,2892.4,41:01.0,55:05.6,41:01.0,402.6027,844.6678
34,Spectrogram 1,1,6281.667999,6286.100095,1350.3,2892.4,55:05.7,55:10.1,55:05.7,4.1813,4.4321
35,Spectrogram 1,1,6286.100095,6591.009434,1343.1,2885.3,55:10.1,00:15.0,55:10.1,269.1413,304.9093
36,Spectrogram 1,1,6591.037899,6668.555213,1336,2878.2,00:15.0,01:32.6,00:15.0,70.7413,77.5173
37,Spectrogram 1,1,6668.54673,6678.904497,1336,2871.1,01:32.5,01:42.9,01:32.5,9.3013,10.3578
38,Spectrogram 1,1,6678.904371,6747.516694,1328.9,2878.2,01:42.9,02:51.5,01:42.9,62.5493,68.6123
39,Spectrogram 1,1,6747.543158,6783.226484,1328.9,2885.3,02:51.5,03:27.2,02:51.5,32.0853,35.6833
40,Spectrogram 1,1,6783.232965,6862.804292,1328.9,2878.2,03:27.2,04:46.8,03:27.2,71.0827,79.5713
41,Spectrogram 1,1,6862.842643,7119.118033,1321.8,2885.3,04:46.8,09:03.1,04:46.8,229.4613,256.2754
42,Spectrogram 1,1,7119.109076,7547.456207,1314.7,2871.1,09:03.1,16:11.5,09:03.1,374.528,428.3471
43,Spectrogram 1,1,7547.477207,7551.037098,1321.8,2871.1,16:11.5,16:15.0,16:11.5,3.4133,3.5599
44,Spectrogram 1,1,7551.037991,7843.166017,1343.1,2871.1,16:15.0,21:07.2,16:15.0,256.512,292.128
45,Spectrogram 1,1,7843.173297,7914.246161,1343.1,2871.1,21:07.2,22:18.2,21:07.2,61.8667,71.0729
46,Spectrogram 1,1,7914.256815,8144.149381,1328.9,2864,22:18.3,26:08.1,22:18.3,184.6613,229.8926
47,Spectrogram 1,1,8144.17337,8497.026525,1336,2864,26:08.2,32:01.0,26:08.2,226.3893,352.8532
48,Spectrogram 1,1,8497.030928,8570.23749,1336,2856.9,32:01.0,33:14.2,32:01.0,66.304,73.2066
49,Spectrogram 1,1,8570.23749,8590.937046,1343.1,2849.7,33:14.2,33:34.9,33:14.2,18.7733,20.6996
50,Spectrogram 1,1,8590.937046,8612.221456,1364.5,2842.6,33:34.9,33:56.2,33:34.9,18.944,21.2844
51,Spectrogram 1,1,8612.246895,8744.506271,1357.4,2835.5,33:56.2,36:08.5,33:56.2,118.272,132.2594
52,Spectrogram 1,1,8744.538552,8998.702963,1350.3,2828.4,36:08.5,40:22.7,36:08.5,219.648,254.1644
53,Spectrogram 1,1,8998.689861,9004.338614,1328.9,2835.5,40:22.7,40:28.3,40:22.7,4.9493,5.6488
54,Spectrogram 1,1,9004.358618,9299.665951,1336,2821.3,40:28.4,45:23.7,40:28.4,244.224,295.3073
55,Spectrogram 1,1,9299.677783,9390.341138,1328.9,2814.2,45:23.7,46:54.3,45:23.7,82.944,90.6634
56,Spectrogram 1,1,9390.323584,9601.3558,1328.9,2800,46:54.3,50:25.4,46:54.3,189.3547,211.0322
57,Spectrogram 1,1,9601.369926,9671.754463,1328.9,2800,50:25.4,51:35.8,50:25.4,63.8293,70.3845
58,Spectrogram 1,1,9671.762069,9791.620993,1328.9,2792.9,51:35.8,53:35.6,51:35.8,105.5573,119.8589
59,Spectrogram 1,1,9791.636823,9873.995133,1336,2785.8,53:35.6,54:58.0,53:35.6,74.4107,82.3583
60,Spectrogram 1,1,9874.038491,10607.61442,1343.1,2771.6,54:58.0,07:11.6,54:58.0,463.104,733.5759
61,Spectrogram 1,1,10607.61258,10610.50427,1343.1,2785.8,07:11.6,07:14.5,07:11.6,2.7307,2.8917
62,Spectrogram 1,1,10610.49874,10912.20348,1343.1,2785.8,07:14.5,12:16.2,07:14.5,245.1627,301.7047
63,Spectrogram 1,1,10912.19308,11093.36578,1357.4,2778.7,12:16.2,15:17.4,12:16.2,139.8613,181.1727
64,Spectrogram 1,1,11093.37494,11395.20001,1350.3,2771.6,15:17.4,20:19.2,15:17.4,281.1733,301.8251
65,Spectrogram 1,1,11395.20001,11419.91331,1350.3,2771.6,20:19.2,20:43.9,20:19.2,22.528,24.7133
66,Spectrogram 1,1,11419.90349,11421.48455,1357.4,2778.7,20:43.9,20:45.5,20:43.9,1.4507,1.5811
67,Spectrogram 1,1,11421.5024,11447.96257,1357.4,2792.9,20:45.5,21:12.0,20:45.5,23.8933,26.4602
