Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Clock Time	End Clock Time	Begin Date Time	Dur 90% (s)	Delta Time (s)
1	Spectrogram 1	1	0.000000000	50.510893447	1286.300	2835.500	16:10:24.0000	16:11:14.5109	2022/9/28  16:10:24.0000	45.9093	50.5109
2	Spectrogram 1	1	50.515731080	73.757996542	1286.300	2842.600	16:11:14.5157	16:11:37.7580	2022/9/28  16:11:14.5157	15.8720	23.2423
3	Spectrogram 1	1	73.772441873	118.291927860	1293.400	2842.600	16:11:37.7724	16:12:22.2919	2022/9/28  16:11:37.7724	32.8533	44.5195
4	Spectrogram 1	1	118.285289132	176.541722609	1293.400	2849.700	16:12:22.2853	16:13:20.5417	2022/9/28  16:12:22.2853	50.7733	58.2564
5	Spectrogram 1	1	176.523155721	233.543308376	1293.400	2856.900	16:13:20.5232	16:14:17.5433	2022/9/28  16:13:20.5232	50.6027	57.0202
6	Spectrogram 1	1	233.542593768	239.950071190	1293.400	2864.000	16:14:17.5426	16:14:23.9501	2022/9/28  16:14:17.5426	5.6320	6.4075
7	Spectrogram 1	1	239.950785798	282.223493987	1293.400	2864.000	16:14:23.9508	16:15:06.2235	2022/9/28  16:14:23.9508	38.0587	42.2727
8	Spectrogram 1	1	282.251190896	330.341721047	1293.400	2864.000	16:15:06.2512	16:15:54.3417	2022/9/28  16:15:06.2512	40.4480	48.0905
9	Spectrogram 1	1	330.361758696	548.066098439	1293.400	2856.900	16:15:54.3618	16:19:32.0661	2022/9/28  16:15:54.3618	171.9467	217.7043
10	Spectrogram 1	1	548.051392544	686.077908868	1300.500	2849.700	16:19:32.0514	16:21:50.0779	2022/9/28  16:19:32.0514	126.5493	138.0265
11	Spectrogram 1	1	686.065361979	723.830429548	1300.500	2849.700	16:21:50.0654	16:22:27.8304	2022/9/28  16:21:50.0654	34.6453	37.7651
12	Spectrogram 1	1	723.845173032	749.714187995	1307.600	2849.700	16:22:27.8452	16:22:53.7142	2022/9/28  16:22:27.8452	22.2720	25.8690
13	Spectrogram 1	1	749.714187995	770.668007542	1307.600	2864.000	16:22:53.7142	16:23:14.6680	2022/9/28  16:22:53.7142	18.2613	20.9538
14	Spectrogram 1	1	770.655926854	1222.312041216	1307.600	2856.900	16:23:14.6559	16:30:46.3120	2022/9/28  16:23:14.6559	300.8000	451.6561
15	Spectrogram 1	1	1222.312041216	1468.014521718	1400.000	2856.900	16:30:46.3120	16:34:52.0145	2022/9/28  16:30:46.3120	225.1947	245.7025
16	Spectrogram 1	1	1468.035278448	1503.689790605	1407.100	2856.900	16:34:52.0353	16:35:27.6898	2022/9/28  16:34:52.0353	31.2320	35.6545
17	Spectrogram 1	1	1503.704224138	2063.606549766	1392.900	2871.100	16:35:27.7042	16:44:47.6065	2022/9/28  16:35:27.7042	320.1707	559.9023
18	Spectrogram 1	1	2063.634581702	2075.844126217	1371.600	2871.100	16:44:47.6346	16:44:59.8441	2022/9/28  16:44:47.6346	11.6053	12.2095
19	Spectrogram 1	1	2075.841982626	2206.578122869	1378.700	2878.200	16:44:59.8420	16:47:10.5781	2022/9/28  16:44:59.8420	117.6747	130.7361
20	Spectrogram 1	1	2206.603102547	2241.810350775	1385.800	2878.200	16:47:10.6031	16:47:45.8104	2022/9/28  16:47:10.6031	30.5493	35.2072
21	Spectrogram 1	1	2241.815884260	2766.325435683	1392.900	2885.300	16:47:45.8159	16:56:30.3254	2022/9/28  16:47:45.8159	189.3547	524.5096
22	Spectrogram 1	1	2766.335646739	2812.425938070	1400.000	2885.300	16:56:30.3356	16:57:16.4259	2022/9/28  16:56:30.3356	42.0693	46.0903
23	Spectrogram 1	1	2812.455811186	2851.136286675	1385.800	2892.400	16:57:16.4558	16:57:55.1363	2022/9/28  16:57:16.4558	33.7067	38.6805
24	Spectrogram 1	1	2851.195127854	2897.644984192	1400.000	2885.300	16:57:55.1951	16:58:41.6450	2022/9/28  16:57:55.1951	41.4720	46.4499
25	Spectrogram 1	1	2897.663740975	4749.873830479	1400.000	2885.300	16:58:41.6637	17:29:33.8738	2022/9/28  16:58:41.6637	1418.8373	1852.2101
26	Spectrogram 1	1	4749.877025725	4754.034207424	1385.800	2892.400	17:29:33.8770	17:29:38.0342	2022/9/28  17:29:33.8770	4.0107	4.1572
27	Spectrogram 1	1	4754.032697066	5020.582275161	1378.700	2906.600	17:29:38.0327	17:34:04.5823	2022/9/28  17:29:38.0327	236.5440	266.5496
28	Spectrogram 1	1	5020.582275161	5085.728267342	1385.800	2913.700	17:34:04.5823	17:35:09.7283	2022/9/28  17:34:04.5823	58.5387	65.1460
29	Spectrogram 1	1	5085.768393703	5296.146152063	1392.900	2913.700	17:35:09.7684	17:38:40.1462	2022/9/28  17:35:09.7684	180.3947	210.3778
30	Spectrogram 1	1	5296.147728563	5312.387893798	1378.700	2906.600	17:38:40.1477	17:38:56.3879	2022/9/28  17:38:40.1477	14.7627	16.2402
31	Spectrogram 1	1	5312.417314387	5353.381791350	1378.700	2906.600	17:38:56.4173	17:39:37.3818	2022/9/28  17:38:56.4173	37.4613	40.9645
32	Spectrogram 1	1	5353.378684490	5437.004655324	1371.600	2892.400	17:39:37.3787	17:41:01.0047	2022/9/28  17:39:37.3787	74.4960	83.6260
33	Spectrogram 1	1	5436.979411312	6281.647195002	1357.400	2892.400	17:41:00.9794	17:55:05.6472	2022/9/28  17:41:00.9794	402.6027	844.6678
34	Spectrogram 1	1	6281.667998500	6286.100094609	1350.300	2892.400	17:55:05.6680	17:55:10.1001	2022/9/28  17:55:05.6680	4.1813	4.4321
35	Spectrogram 1	1	6286.100094609	6591.009434170	1343.100	2885.300	17:55:10.1001	18:00:15.0094	2022/9/28  17:55:10.1001	269.1413	304.9093
36	Spectrogram 1	1	6591.037898673	6668.555212894	1336.000	2878.200	18:00:15.0379	18:01:32.5552	2022/9/28  18:00:15.0379	70.7413	77.5173
37	Spectrogram 1	1	6668.546730114	6678.904497266	1336.000	2871.100	18:01:32.5467	18:01:42.9045	2022/9/28  18:01:32.5467	9.3013	10.3578
38	Spectrogram 1	1	6678.904370525	6747.516694098	1328.900	2878.200	18:01:42.9044	18:02:51.5167	2022/9/28  18:01:42.9044	62.5493	68.6123
39	Spectrogram 1	1	6747.543157769	6783.226483986	1328.900	2885.300	18:02:51.5432	18:03:27.2265	2022/9/28  18:02:51.5432	32.0853	35.6833
40	Spectrogram 1	1	6783.232965311	6862.804292241	1328.900	2878.200	18:03:27.2330	18:04:46.8043	2022/9/28  18:03:27.2330	71.0827	79.5713
41	Spectrogram 1	1	6862.842642901	7119.118032966	1321.800	2885.300	18:04:46.8426	18:09:03.1180	2022/9/28  18:04:46.8426	229.4613	256.2754
42	Spectrogram 1	1	7119.109076351	7547.456207202	1314.700	2871.100	18:09:03.1091	18:16:11.4562	2022/9/28  18:09:03.1091	374.5280	428.3471
43	Spectrogram 1	1	7547.477206825	7551.037098117	1321.800	2871.100	18:16:11.4772	18:16:15.0371	2022/9/28  18:16:11.4772	3.4133	3.5599
44	Spectrogram 1	1	7551.037991317	7843.166017112	1343.100	2871.100	18:16:15.0380	18:21:07.1660	2022/9/28  18:16:15.0380	256.5120	292.1280
45	Spectrogram 1	1	7843.173296898	7914.246160602	1343.100	2871.100	18:21:07.1733	18:22:18.2462	2022/9/28  18:21:07.1733	61.8667	71.0729
46	Spectrogram 1	1	7914.256814547	8144.149381092	1328.900	2864.000	18:22:18.2568	18:26:08.1494	2022/9/28  18:22:18.2568	184.6613	229.8926
47	Spectrogram 1	1	8144.173370030	8497.026525230	1336.000	2864.000	18:26:08.1734	18:32:01.0265	2022/9/28  18:26:08.1734	226.3893	352.8532
48	Spectrogram 1	1	8497.030928153	8570.237489744	1336.000	2856.900	18:32:01.0309	18:33:14.2375	2022/9/28  18:32:01.0309	66.3040	73.2066
49	Spectrogram 1	1	8570.237489744	8590.937045933	1343.100	2849.700	18:33:14.2375	18:33:34.9370	2022/9/28  18:33:14.2375	18.7733	20.6996
50	Spectrogram 1	1	8590.937045933	8612.221456078	1364.500	2842.600	18:33:34.9370	18:33:56.2215	2022/9/28  18:33:34.9370	18.9440	21.2844
51	Spectrogram 1	1	8612.246894781	8744.506271283	1357.400	2835.500	18:33:56.2469	18:36:08.5063	2022/9/28  18:33:56.2469	118.2720	132.2594
52	Spectrogram 1	1	8744.538551723	8998.702962839	1350.300	2828.400	18:36:08.5386	18:40:22.7030	2022/9/28  18:36:08.5386	219.6480	254.1644
