Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin Clock Time,End Clock Time,Begin Date Time,Dur 90% (s),Delta Time (s),Period
1,Spectrogram 1,1,3651.564516,3851.190929,1127.516,1373.257,11:15.6,14:35.2,11:15.6,178.3467,199.6264,4Lower_p1
2,Spectrogram 1,1,3851.247109,3862.089853,1055.239,1387.712,14:35.2,14:46.1,14:35.2,9.8133,10.8427,4Lower_p2
3,Spectrogram 1,1,3875.451646,4749.834794,917.914,1366.029,14:59.5,29:33.8,14:59.5,531.3707,874.3831,4Tow_p1
4,Spectrogram 1,1,4749.834794,4753.933826,917.914,1394.94,29:33.8,29:37.9,29:33.8,3.84,4.099,4Tow_p2
5,Spectrogram 1,1,4753.852192,4761.947184,917.914,1394.94,29:37.9,29:45.9,29:37.9,6.912,8.095,4Tow_p2
6,Spectrogram 1,1,4772.925679,5020.550625,932.369,1322.663,29:56.9,34:04.6,29:56.9,221.8667,247.6249,4Raise_p1
7,Spectrogram 1,1,5020.536548,5182.519145,932.369,1358.801,34:04.5,36:46.5,34:04.5,135.2533,161.9826,4Raise_p2
8,Spectrogram 1,1,5348.569397,5436.789979,932.369,1344.346,39:32.6,41:00.8,39:32.6,80.7253,88.2206,3Lower_p1
9,Spectrogram 1,1,5436.789979,5452.27521,925.141,1322.663,41:00.8,41:16.3,41:00.8,13.3973,15.4852,3Lower_p2
10,Spectrogram 1,1,5464.662014,6281.594824,925.141,1315.435,41:28.7,55:05.6,41:28.7,416.4267,816.9328,3Tow_p1
11,Spectrogram 1,1,6281.651755,6286.092373,939.597,1329.891,55:05.7,55:10.1,55:05.7,4.1813,4.4406,3Tow_p2
12,Spectrogram 1,1,6286.092373,6293.550333,932.369,1308.208,55:10.1,55:17.6,55:10.1,6.656,7.458,3Tow_p3
13,Spectrogram 1,1,6304.4118,6591.036597,903.458,1300.98,55:28.4,00:15.0,55:28.4,249.6853,286.6248,3Raise_p1
14,Spectrogram 1,1,6591.015753,6668.650727,903.458,1315.435,00:15.0,01:32.7,00:15.0,70.9973,77.635,3Raise_p2
15,Spectrogram 1,1,6668.635256,6678.86002,896.231,1308.208,01:32.6,01:42.9,01:32.6,9.216,10.2248,3Raise_p3
16,Spectrogram 1,1,6678.86002,6694.927505,903.458,1315.435,01:42.9,01:58.9,01:42.9,14.336,16.0675,3Raise_p4
17,Spectrogram 1,1,7044.694112,7118.964098,903.458,1308.208,07:48.7,09:03.0,07:48.7,66.304,74.27,2aLower_p1
18,Spectrogram 1,1,7119.025919,7135.682777,896.231,1329.891,09:03.0,09:19.7,09:03.0,15.0187,16.6569,2aLower_p2
19,Spectrogram 1,1,7143.562663,7547.425079,896.231,1235.931,09:27.6,16:11.4,09:27.6,320.5973,403.8624,2aTow_p1
20,Spectrogram 1,1,7547.498391,7551.011249,896.231,1286.525,16:11.5,16:15.0,16:11.5,3.328,3.5129,2aTow_p2
21,Spectrogram 1,1,7551.011249,7562.640513,896.231,1293.752,16:15.0,16:26.6,16:15.0,10.4107,11.6293,2aTow_p3
22,Spectrogram 1,1,7569.288503,7843.462648,910.686,1272.069,16:33.3,21:07.5,16:33.3,211.6267,274.1741,2aRaise_p1
23,Spectrogram 1,1,7843.462648,7914.356228,896.231,1250.386,21:07.5,22:18.4,21:07.5,57.6853,70.8936,2aRaise_p2
24,Spectrogram 1,1,7914.356228,7935.985535,895.362,1279.297,22:18.4,22:40.0,22:18.4,18.2613,21.6293,2aRaise_p3
25,Spectrogram 1,1,8513.66209,8570.1511,889.003,1322.663,32:17.7,33:14.2,32:17.7,50.0053,56.489,2bLower_p1
26,Spectrogram 1,1,8570.17919,8590.965797,874.548,1329.891,33:14.2,33:35.0,33:14.2,18.7733,20.7866,2bLower_p2
27,Spectrogram 1,1,8590.97655,8612.324958,889.003,1344.346,33:35.0,33:56.3,33:35.0,19.3707,21.3484,2bLower_p3
28,Spectrogram 1,1,8612.324958,8622.381181,889.003,1344.346,33:56.3,34:06.4,33:56.3,9.0453,10.0562,2bLower_p4
29,Spectrogram 1,1,8635.311117,8998.759104,860.092,1329.891,34:19.3,40:22.8,34:19.3,318.208,363.448,2bTow_p1
30,Spectrogram 1,1,8998.759104,9004.320926,847.151,1322.382,40:22.8,40:28.3,40:22.8,5.12,5.5618,2bTow_p2
