Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Clock Time	End Clock Time	Begin Date Time	Dur 90% (s)	Delta Time (s)	Period
1	Spectrogram 1	1	3651.564516038	3851.190929409	1127.516	1373.257	17:11:15.5645	17:14:35.1909	2022/9/28  17:11:15.5645	178.3467	199.6264	4Lower_p1
2	Spectrogram 1	1	3851.247109429	3862.089853205	1055.239	1387.712	17:14:35.2471	17:14:46.0899	2022/9/28  17:14:35.2471	9.8133	10.8427	4Lower_p2
3	Spectrogram 1	1	3875.451645738	4749.834794089	917.914	1366.029	17:14:59.4516	17:29:33.8348	2022/9/28  17:14:59.4516	531.3707	874.3831	4Tow_p1
4	Spectrogram 1	1	4749.834794089	4753.933825637	917.914	1394.940	17:29:33.8348	17:29:37.9338	2022/9/28  17:29:33.8348	3.8400	4.0990	4Tow_p2
5	Spectrogram 1	1	4753.852191514	4761.947183643	917.914	1394.940	17:29:37.8522	17:29:45.9472	2022/9/28  17:29:37.8522	6.9120	8.0950	4Tow_p2
6	Spectrogram 1	1	4772.925679483	5020.550624912	932.369	1322.663	17:29:56.9257	17:34:04.5506	2022/9/28  17:29:56.9257	221.8667	247.6249	4Raise_p1
7	Spectrogram 1	1	5020.536548321	5182.519144751	932.369	1358.801	17:34:04.5365	17:36:46.5191	2022/9/28  17:34:04.5365	135.2533	161.9826	4Raise_p2
8	Spectrogram 1	1	5348.569396842	5436.789979416	932.369	1344.346	17:39:32.5694	17:41:00.7900	2022/9/28  17:39:32.5694	80.7253	88.2206	3Lower_p1
9	Spectrogram 1	1	5436.789979416	5452.275209710	925.141	1322.663	17:41:00.7900	17:41:16.2752	2022/9/28  17:41:00.7900	13.3973	15.4852	3Lower_p2
10	Spectrogram 1	1	5464.662014216	6281.594824053	925.141	1315.435	17:41:28.6620	17:55:05.5948	2022/9/28  17:41:28.6620	416.4267	816.9328	3Tow_p1
11	Spectrogram 1	1	6281.651755047	6286.092372558	939.597	1329.891	17:55:05.6518	17:55:10.0924	2022/9/28  17:55:05.6518	4.1813	4.4406	3Tow_p2
12	Spectrogram 1	1	6286.092372558	6293.550332736	932.369	1308.208	17:55:10.0924	17:55:17.5503	2022/9/28  17:55:10.0924	6.6560	7.4580	3Tow_p3
13	Spectrogram 1	1	6304.411799595	6591.036596673	903.458	1300.980	17:55:28.4118	18:00:15.0366	2022/9/28  17:55:28.4118	249.6853	286.6248	3Raise_p1
