"","RLDateTimeHyd_Serial","RLDateTimeHyd","Tow","Activity","PeakFreq","PeakLev","BB","OL_Hz","OL_31_5","OL_63","OL_125","OL_250","OL_500","OL_1000","OL_2000","OL_4000","OL_8000","OL_16000","TOL_Hz","TOL_25","TOL_31_5","TOL_40","TOL_50","TOL_63","TOL_80","TOL_100","TOL_125","TOL_160","TOL_200","TOL_250","TOL_315","TOL_400","TOL_500","TOL_630","TOL_800","TOL_1000","TOL_1250","TOL_1600","TOL_2000","TOL_2500","TOL_3150","TOL_4000","TOL_5000","TOL_6300","TOL_8000","TOL_10000","TOL_12500","TOL16000","TOL_20000"
"1",738792.6823,"2022-09-28T16:22:35Z","1","Transect",96,102.3486809,116.3928053,NA,92.08070077,103.9453847,109.9487236,110.775843,109.0956938,108.4659082,103.7056997,99.22157925,97.79516321,92.21839351,NA,79.84099366,89.9302649,87.27657529,92.74191036,98.65550709,101.9277003,105.5793704,106.6664711,102.1156671,106.2702359,106.8820638,104.5357729,106.8420461,102.5609734,101.7142319,104.2420289,103.3100231,103.4739914,100.019209,98.88543606,97.55284915,95.0165804,93.30563484,94.83438634,94.02264007,93.17014065,91.51949597,89.93239977,87.57457927,80.41369315
"2",738792.6824,"2022-09-28T16:22:36Z","1","Transect",96,105.6468639,116.5341667,NA,90.8542297,103.2218527,111.7670408,110.0281936,108.6307271,108.4024673,102.6499119,98.95239313,98.59201577,91.58084041,NA,76.01772262,84.82001991,89.41514927,89.7539715,99.70107027,100.3013754,108.3208457,107.9986776,102.8333955,103.0460339,107.5224344,103.7949917,104.9509418,103.0137973,103.3594466,104.9142215,103.1257384,102.474664,98.78551931,97.8610245,96.75408075,94.45123111,92.82198386,94.98950198,95.44405332,93.71469278,91.38669297,89.17263439,87.19845417,79.4407369
"3",738792.6824,"2022-09-28T16:22:37Z","1","Transect",96,102.5921967,115.3358016,NA,91.26264746,103.1622243,108.9513656,108.515728,108.9653313,107.8940518,102.20816,98.5189872,96.83452131,89.85847378,NA,81.8453551,81.19990771,90.22280943,94.28884722,98.29640699,100.5200669,105.4002168,103.9806611,102.756702,103.3777132,104.3645502,103.417788,106.4310176,102.5329122,102.2836757,103.9776335,102.900106,102.3264937,98.74733715,96.7191522,96.46865321,93.35892343,92.90946971,94.75556293,94.31328763,91.25184462,88.97971992,87.29963209,85.20908437,79.96191275
"4",738792.6824,"2022-09-28T16:22:38Z","1","Transect",96,101.0757642,115.7126448,NA,90.12329008,102.276197,109.0256264,109.5324838,109.1888957,108.6586714,102.2961035,97.819324,96.113863,91.72228066,NA,77.01391587,83.93090563,88.64090734,93.36681366,97.79078622,99.39802687,106.2699392,104.2747851,100.3260597,105.5660919,105.4065955,102.797218,106.0291666,103.3628099,103.2621145,104.9611143,104.1399622,102.0807717,98.72549303,96.44133108,97.07873443,93.05941104,92.75478198,93.3122426,93.0392542,90.38872402,89.91143625,89.83091362,86.08181207,80.76363014
"5",738792.6824,"2022-09-28T16:22:39Z","1","Transect",96,100.0495005,114.9484884,NA,91.6394467,102.1932566,108.4981946,108.8763392,107.4231486,107.8573221,102.2422079,98.47932085,96.71739598,92.27668343,NA,77.43404088,83.26756388,90.75925077,93.31337594,98.20634642,98.92593578,104.2287765,105.4347507,99.70131502,104.002739,104.9785606,103.1389234,103.300341,102.2630734,102.3115935,102.976174,103.5073259,102.7388229,98.70843132,96.50956509,96.86077696,94.15265585,93.02944573,93.86542166,92.82283075,90.8706123,91.92748177,90.31104782,86.68872627,81.71373579
"6",738792.6824,"2022-09-28T16:22:40Z","1","Transect",253,101.8540924,114.7253172,NA,90.20325471,102.597184,107.1543455,109.0317088,107.0722692,107.601142,102.967125,99.71785409,97.68199287,93.19337325,NA,81.64218055,86.09704562,86.94478536,94.77917609,98.14735509,99.3713549,101.129429,104.0979839,101.2286518,101.3795435,106.5315591,103.280082,103.2555342,101.8235469,101.6375657,102.8380218,102.5936109,103.0463504,98.97339056,98.30547051,97.10797773,95.68116537,94.21441668,94.81829511,93.54469096,92.50066007,92.60940211,91.05449092,88.11096422,82.14853414
"7",738792.6824,"2022-09-28T16:22:41Z","1","Transect",253,100.1493095,114.7611288,NA,92.81341787,102.5541926,108.0055559,108.6488264,107.3756487,107.4890496,102.333113,98.68557758,97.0569069,93.04799696,NA,85.65202345,86.00277111,90.59011076,97.10584079,98.39806709,97.74906305,101.305946,105.6451358,101.1331741,103.4558191,105.0551306,102.8047065,103.8487014,101.8333965,101.7999734,103.6637762,102.3436185,101.9565307,98.37587019,97.2181042,96.95695246,94.47559908,92.94056886,94.17934625,92.60487742,91.78965282,92.42111753,90.50455804,88.68457149,81.91891329
"8",738792.6824,"2022-09-28T16:22:42Z","1","Transect",253,103.321035,114.325478,NA,93.50259805,103.2923448,106.6184799,108.6598556,106.578214,107.3991874,101.7997422,97.59381783,96.30294768,93.41900847,NA,81.21910655,87.67899206,91.82315266,96.65569768,99.24767462,99.19216249,99.24622826,104.0649616,100.7916927,100.5261607,106.9187572,101.1297662,102.4144301,100.9598496,101.9231233,103.3610627,102.4937586,101.9044945,98.34796517,96.33892246,96.01473642,93.19537758,92.02688759,93.14794777,91.59904505,91.46748047,91.52768069,91.00115002,88.79163204,82.57635283
"9",738792.6824,"2022-09-28T16:22:43Z","1","Transect",253,100.936791,114.624285,NA,90.00164191,102.7586871,107.1731479,109.110733,107.7846777,107.0487484,101.4792184,96.7862054,96.24140573,94.29921736,NA,78.44173287,85.20194477,87.776063,97.21529198,96.52223119,99.59892944,104.1044316,102.0118927,100.2262095,104.4847506,105.4256676,102.676391,105.052992,101.5987488,101.3298015,102.748955,102.5840636,101.3742204,97.84269171,96.60711942,95.30768595,92.19121259,91.51539073,92.29768238,91.62480686,90.99386454,91.7544236,91.62383642,90.04090073,83.58301648
"10",738792.6825,"2022-09-28T16:22:44Z","1","Transect",96,102.0947325,114.4705362,NA,90.47356343,105.3908402,107.6093198,108.2240768,106.909571,106.4174619,101.1228301,97.28461903,97.72047046,94.72607175,NA,69.33253467,82.78860092,89.62173798,95.89982822,101.4292252,102.2565263,105.2708859,101.526428,99.91137322,103.3158998,104.8881676,101.5105505,103.5675157,101.3440554,101.0451474,101.9511735,101.7016747,101.2577119,97.20662664,96.48088551,95.11493921,93.43726428,91.60778889,92.29600801,92.89434523,92.86230416,93.08768422,92.35052101,90.0968855,83.5851625
